State,District,Total,Children,Age_0_5,Age_5_17,Pincodes,Records,Child_Percent,score_children,score_coverage,score_activity,PRIORITY_SCORE
Manipur,Pherzawl,8,8,1,7,2,3,100.0,99.9779839597421,99.39393939393939,99.94086339444115,99.8
Arunachal Pradesh,Dibang Valley,7,7,4,3,2,6,100.0,99.98112910835037,99.39393939393939,99.8521584861029,99.8
Jammu & Kashmir,Kathua,2,2,2,0,2,2,100.0,99.99685485139173,99.39393939393939,99.97043169722058,99.8
Jammu & Kashmir,Anantnag,2,2,1,1,2,2,100.0,99.99685485139173,99.39393939393939,99.97043169722058,99.8
Arunachal Pradesh,Lower Dibang Valley,62,62,34,28,1,27,100.0,99.80814593489542,100.0,99.23122412773506,99.8
Orissa,Debagarh,3,3,3,0,2,3,100.0,99.99370970278346,99.39393939393939,99.94086339444115,99.8
Puducherry,Pondicherry,3,3,3,0,2,2,100.0,99.99370970278346,99.39393939393939,99.97043169722058,99.8
Mizoram,Saitual,2,1,1,0,2,2,50.0,100.0,99.39393939393939,99.97043169722058,99.8
Arunachal Pradesh,Kurung Kumey,36,36,12,24,1,20,100.0,99.8899197987105,100.0,99.43820224719101,99.8
Arunachal Pradesh,Kra Daadi,47,47,12,35,1,20,100.0,99.8553231640195,100.0,99.43820224719101,99.8
Arunachal Pradesh,Upper Siang,27,27,15,12,2,19,100.0,99.91822613618494,99.39393939393939,99.46777054997042,99.7
Andhra Pradesh,Visakhapatanam,226,214,186,28,1,1,94.7,99.33008334643812,100.0,100.0,99.7
Karnataka,Ramanagara,204,192,168,24,1,1,94.1,99.3992766158201,100.0,100.0,99.7
Dadra and Nagar Haveli and Daman and Diu,Daman,27,25,23,2,2,19,92.6,99.92451643340148,99.39393939393939,99.46777054997042,99.7
Arunachal Pradesh,Upper Subansiri,77,77,45,32,1,28,100.0,99.76096870577135,100.0,99.20165582495565,99.7
Telangana,Ranga Reddy,284,274,181,93,1,1,96.5,99.14137442994182,100.0,100.0,99.6
Rajasthan,Deeg,12,12,0,12,3,4,100.0,99.96540336530902,98.78787878787878,99.91129509166174,99.6
Sikkim,Namchi,15,6,1,5,3,14,40.0,99.98427425695864,98.78787878787878,99.61561206386753,99.6
Orissa,Kalahandi,5,5,5,0,3,4,100.0,99.98741940556691,98.78787878787878,99.91129509166174,99.6
Orissa,Jharsuguda,14,14,14,0,3,10,100.0,99.95911306809246,98.78787878787878,99.73388527498521,99.6
Arunachal Pradesh,Lower Subansiri,59,59,22,37,2,30,100.0,99.81758138072024,99.39393939393939,99.1425192193968,99.6
Orissa,Gajapati,3,3,3,0,3,3,100.0,99.99370970278346,98.78787878787878,99.94086339444115,99.6
Nagaland,Noklak,207,183,62,121,1,25,88.4,99.42758295329455,100.0,99.29036073329391,99.6
Nagaland,Shamator,182,173,3,170,1,31,95.1,99.45903443937726,100.0,99.11295091661738,99.6
Jammu & Kashmir,Kupwara,5,5,4,1,3,3,100.0,99.98741940556691,98.78787878787878,99.94086339444115,99.6
Meghalaya,Jaintia Hills,3,3,3,0,3,3,100.0,99.99370970278346,98.78787878787878,99.94086339444115,99.6
Dadra and Nagar Haveli and Daman and Diu,Diu,10,7,6,1,3,8,70.0,99.98112910835037,98.78787878787878,99.79302188054406,99.6
Daman & Diu,Diu,8,8,8,0,3,7,100.0,99.9779839597421,98.78787878787878,99.82259018332348,99.6
Arunachal Pradesh,Siang,84,84,33,51,2,30,100.0,99.73895266551345,99.39393939393939,99.1425192193968,99.5
Manipur,Kakching,63,62,19,43,2,31,98.4,99.80814593489542,99.39393939393939,99.11295091661738,99.5
Arunachal Pradesh,East Siang,84,84,38,46,2,39,100.0,99.73895266551345,99.39393939393939,98.87640449438203,99.5
Arunachal Pradesh,Lower Siang,15,15,6,9,3,12,100.0,99.9559679194842,98.78787878787878,99.67474866942638,99.5
Manipur,Jiribam,70,70,26,44,2,41,100.0,99.78298474602926,99.39393939393939,98.81726788882318,99.5
Orissa,Malkangiri,26,26,22,4,3,19,100.0,99.92137128479321,98.78787878787878,99.46777054997042,99.5
Nagaland,Niuland,23,22,9,13,3,15,95.7,99.9339518792263,98.78787878787878,99.58604376108812,99.5
Daman and Diu,Daman,24,24,17,7,3,19,100.0,99.92766158200975,98.78787878787878,99.46777054997042,99.5
Daman and Diu,Diu,20,20,20,0,3,17,100.0,99.94024217644284,98.78787878787878,99.52690715552927,99.5
Mizoram,Serchhip,66,63,52,11,3,32,95.5,99.80500078628715,98.78787878787878,99.08338261383797,99.4
Karnataka,Bengaluru South,22,20,1,19,4,5,90.9,99.94024217644284,98.18181818181819,99.88172678888232,99.4
Meghalaya,Eastern West Khasi Hills,146,143,2,141,2,31,97.9,99.55338889762541,99.39393939393939,99.11295091661738,99.4
Arunachal Pradesh,East Kameng,111,111,59,52,2,36,100.0,99.65403365309011,99.39393939393939,98.96510940272029,99.4
Jammu and Kashmir,Shupiyan,272,271,218,53,1,35,99.6,99.15080987576663,100.0,98.9946777054997,99.4
Jammu And Kashmir,Shopian,412,392,308,84,1,1,95.1,98.77024689416575,100.0,100.0,99.4
Andhra Pradesh,Mahabubnagar,4,4,4,0,4,4,100.0,99.99056455417518,98.18181818181819,99.91129509166174,99.4
Chhattisgarh,Gaurela-Pendra-Marwahi,69,67,58,9,3,45,97.1,99.79242019185406,98.78787878787878,98.6989946777055,99.3
Jammu & Kashmir,Baramula,24,24,23,1,4,18,100.0,99.92766158200975,98.18181818181819,99.49733885274985,99.3
Maharashtra,Ahmednagar,368,340,182,158,2,2,92.4,98.93379462179588,99.39393939393939,99.97043169722058,99.3
Maharashtra,Chatrapati Sambhaji Nagar,93,90,49,41,3,35,96.8,99.72008177386381,98.78787878787878,98.9946777054997,99.3
West Bengal,24 Paraganas South,490,468,364,104,1,1,95.5,98.5312155999371,100.0,100.0,99.3
Rajasthan,Jalore,490,477,296,181,1,1,97.3,98.50290926246265,100.0,100.0,99.3
Odisha,Nabarangpur,442,430,327,103,1,1,97.3,98.65073124705143,100.0,100.0,99.3
Chhattisgarh,Narayanpur,386,386,211,175,1,34,100.0,98.78911778581538,100.0,99.02424600827912,99.2
Jammu And Kashmir,Doda,538,521,261,260,1,1,96.8,98.3645227236987,100.0,100.0,99.2
Andaman and Nicobar Islands,Nicobar,54,54,45,9,4,23,100.0,99.8333071237616,98.18181818181819,99.34949733885276,99.2
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,45,43,35,8,4,34,95.6,99.86790375845258,98.18181818181819,99.02424600827912,99.2
Arunachal Pradesh,Namsai,91,91,49,42,3,47,100.0,99.71693662525554,98.78787878787878,98.63985807214667,99.2
Arunachal Pradesh,Tawang,91,91,70,21,3,43,100.0,99.71693662525554,98.78787878787878,98.75813128326433,99.2
Sikkim,North Sikkim,29,29,23,6,5,24,100.0,99.91193583896839,97.57575757575758,99.31992903607333,99.1
Tamil Nadu,Kanchipuram,386,365,276,89,3,3,94.6,98.8551659065891,98.78787878787878,99.94086339444115,99.1
Haryana,Yamunanagar,30,30,27,3,5,20,100.0,99.90879069036012,97.57575757575758,99.43820224719101,99.1
Arunachal Pradesh,Lohit,79,79,46,33,4,41,100.0,99.75467840855481,98.18181818181819,98.81726788882318,99.1
Assam,Sivasagar,422,317,204,113,3,4,75.1,99.00613303978614,98.78787878787878,99.91129509166174,99.1
Arunachal Pradesh,Tirap,40,40,26,14,5,24,100.0,99.8773392042774,97.57575757575758,99.31992903607333,99.1
Assam,Tamulpur District,24,24,9,15,5,22,100.0,99.92766158200975,97.57575757575758,99.37906564163217,99.1
Andaman & Nicobar Islands,South Andaman,20,20,20,0,5,18,100.0,99.94024217644284,97.57575757575758,99.49733885274985,99.1
Sikkim,North,27,27,20,7,5,18,100.0,99.91822613618494,97.57575757575758,99.49733885274985,99.1
Chhattisgarh,Janjgir - Champa,20,20,18,2,6,15,100.0,99.94024217644284,96.96969696969697,99.58604376108812,99.0
Telangana,Jangaon,46,46,35,11,5,33,100.0,99.85846831262778,97.57575757575758,99.05381431105855,99.0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,85,85,64,21,4,56,100.0,99.73580751690517,98.18181818181819,98.37374334713188,99.0
Punjab,S.A.S Nagar,705,657,493,164,1,2,93.2,97.93678251297374,100.0,99.97043169722058,99.0
Sikkim,West,136,133,60,73,3,66,97.8,99.58484038370813,98.78787878787878,98.07806031933767,99.0
Arunachal Pradesh,West Siang,117,117,68,49,4,55,100.0,99.63516276144048,98.18181818181819,98.4033116499113,99.0
Maharashtra,Gondia,16,16,14,2,6,15,100.0,99.95282277087593,96.96969696969697,99.58604376108812,99.0
Uttar Pradesh,Mahrajganj,9,9,5,4,6,9,100.0,99.97483881113382,96.96969696969697,99.76345357776464,99.0
Jharkhand,Pakaur,203,203,129,74,3,64,100.0,99.36467998112911,98.78787878787878,98.13719692489651,98.9
Assam,Dima Hasao,236,210,117,93,5,16,89.0,99.3426639408712,97.57575757575758,99.5564754583087,98.9
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,716,689,548,141,1,2,96.2,97.83613775750904,100.0,99.97043169722058,98.9
Uttar Pradesh,Jyotiba Phule Nagar,43,43,30,13,6,30,100.0,99.86790375845258,96.96969696969697,99.1425192193968,98.9
Bihar,Monghyr,25,25,10,15,6,20,100.0,99.92451643340148,96.96969696969697,99.43820224719101,98.9
Nagaland,Chumukedima,145,111,29,82,5,42,76.6,99.65403365309011,97.57575757575758,98.78769958604376,98.9
Mizoram,Mammit,45,45,37,8,6,29,100.0,99.86161346123605,96.96969696969697,99.17208752217623,98.9
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,104,102,63,39,4,61,98.1,99.68233999056456,98.18181818181819,98.22590183323477,98.9
Himachal Pradesh,Lahul And Spiti,14,14,13,1,7,13,100.0,99.95911306809246,96.36363636363636,99.64518036664695,98.8
Jammu and Kashmir,Leh,92,91,66,25,5,52,98.9,99.71693662525554,97.57575757575758,98.49201655824956,98.8
Telangana,Medchal Malkajgiri,704,674,409,265,2,2,95.7,97.88331498663312,99.39393939393939,99.97043169722058,98.8
Himachal Pradesh,Lahul & Spiti,19,19,17,2,7,17,100.0,99.9433873250511,96.36363636363636,99.52690715552927,98.8
Ladakh,Leh,52,45,41,4,6,32,86.5,99.86161346123605,96.96969696969697,99.08338261383797,98.8
Odisha,Baudh,96,96,75,21,5,64,100.0,99.70121088221418,97.57575757575758,98.13719692489651,98.8
Andaman & Nicobar Islands,Andamans,36,36,32,4,6,34,100.0,99.8899197987105,96.96969696969697,99.02424600827912,98.8
Jharkhand,Palamau,125,125,97,28,5,45,100.0,99.6100015725743,97.57575757575758,98.6989946777055,98.8
Bihar,Bhabua,19,19,8,11,7,17,100.0,99.9433873250511,96.36363636363636,99.52690715552927,98.8
West Bengal,Medinipur West,645,625,325,300,2,2,96.9,98.03742726843844,99.39393939393939,99.97043169722058,98.8
Chhattisgarh,Janjgir Champa,11,11,11,0,7,11,100.0,99.96854851391728,96.36363636363636,99.70431697220579,98.8
Gujarat,Dang,872,710,531,179,2,4,81.4,97.77008963673534,99.39393939393939,99.91129509166174,98.7
Sikkim,West Sikkim,422,390,165,225,3,64,92.4,98.77653719138229,98.78787878787878,98.13719692489651,98.7
Jharkhand,Sahibganj,175,175,84,91,5,47,100.0,99.45274414216071,97.57575757575758,98.63985807214667,98.7
Nagaland,Wokha,483,459,94,365,3,52,95.0,98.55952193741155,98.78787878787878,98.49201655824956,98.6
Andaman and Nicobar Islands,North And Middle Andaman,55,55,52,3,7,38,100.0,99.83016197515333,96.36363636363636,98.90597279716144,98.6
Mizoram,Saiha,529,442,293,149,3,58,83.6,98.61298946375216,98.78787878787878,98.31460674157303,98.6
Tripura,Khowai,156,144,89,55,5,75,92.3,99.55024374901714,97.57575757575758,97.81194559432288,98.6
Jharkhand,Kodarma,164,164,91,73,5,76,100.0,99.48734077685171,97.57575757575758,97.78237729154347,98.6
Madhya Pradesh,Niwari,49,48,40,8,7,43,98.0,99.85217801541123,96.36363636363636,98.75813128326433,98.6
Assam,Bajali,14,14,9,5,8,14,100.0,99.95911306809246,95.75757575757575,99.61561206386753,98.6
Madhya Pradesh,Pandhurna,33,32,28,4,8,22,97.0,99.90250039314357,95.75757575757575,99.37906564163217,98.6
Chhattisgarh,Sarangarh-Bilaigarh,61,58,46,12,7,44,95.1,99.82072652932851,96.36363636363636,98.72856298048492,98.6
Orissa,Rayagada,115,115,96,19,6,55,100.0,99.64145305865702,96.96969696969697,98.4033116499113,98.6
West Bengal,Medinipur,15,15,14,1,9,13,100.0,99.9559679194842,95.15151515151516,99.64518036664695,98.5
Nagaland,Kiphire,631,591,112,479,3,42,93.7,98.14436232111967,98.78787878787878,98.78769958604376,98.5
Mizoram,Mamit,107,104,81,23,7,43,97.2,99.676049693348,96.36363636363636,98.75813128326433,98.5
Jammu and Kashmir,Kishtwar,418,417,331,86,3,88,99.8,98.69161817895896,98.78787878787878,97.42755765819042,98.5
Uttarakhand,Garhwal,38,38,35,3,8,26,100.0,99.88362950149394,95.75757575757575,99.26079243051448,98.5
Telangana,Rangareddy,150,149,125,24,6,87,99.3,99.53451800597578,96.96969696969697,97.45712596096985,98.3
Sikkim,South,130,129,54,75,7,77,99.2,99.59742097814122,96.36363636363636,97.75280898876404,98.3
Orissa,Jagatsinghapur,19,19,19,0,10,14,100.0,99.9433873250511,94.54545454545455,99.61561206386753,98.3
Andhra Pradesh,K.V. Rangareddy,14,14,11,3,10,11,100.0,99.95911306809246,94.54545454545455,99.70431697220579,98.3
West Bengal,Dinajpur Dakshin,997,963,707,256,2,2,96.6,96.97436703884259,99.39393939393939,99.97043169722058,98.3
Dadra and Nagar Haveli,Dadra And Nagar Haveli,436,435,390,45,4,89,99.8,98.63500550401007,98.18181818181819,97.397989355411,98.3
Pondicherry,Karaikal,89,89,84,5,8,75,100.0,99.7232269224721,95.75757575757575,97.81194559432288,98.2
Arunachal Pradesh,Longding,794,761,117,644,3,43,95.8,97.60968705771347,98.78787878787878,98.75813128326433,98.2
Chhattisgarh,Gaurella Pendra Marwahi,983,913,623,290,3,3,92.9,97.13162446925617,98.78787878787878,99.94086339444115,98.2
Chhattisgarh,Dantewada,156,156,111,45,7,75,100.0,99.51250196571787,96.36363636363636,97.81194559432288,98.2
Sikkim,South Sikkim,400,376,152,224,6,56,94.0,98.8205692718981,96.96969696969697,98.37374334713188,98.2
Chhattisgarh,Kabeerdham,434,434,392,42,4,99,100.0,98.63815065261834,98.18181818181819,97.1023063276168,98.2
Arunachal Pradesh,West Kameng,199,188,113,75,7,67,94.5,99.41185721025319,96.36363636363636,98.04849201655824,98.2
Mizoram,Kolasib,199,170,129,41,7,70,85.4,99.46846988520207,96.36363636363636,97.95978710821998,98.2
Jammu and Kashmir,Kulgam,477,477,377,100,5,72,100.0,98.50290926246265,97.57575757575758,97.90065050266115,98.1
Orissa,Sambalpur,14,14,12,2,11,13,100.0,99.95911306809246,93.93939393939394,99.64518036664695,98.1
Nagaland,Longleng,846,807,201,606,3,46,95.4,97.46501022173298,98.78787878787878,98.66942637492608,98.1
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,139,139,93,46,8,67,100.0,99.5659694920585,95.75757575757575,98.04849201655824,98.1
Manipur,Bishnupur,658,619,284,335,3,100,94.1,98.05629816008806,98.78787878787878,97.07273802483738,98.1
Manipur,Ukhrul,367,363,147,216,6,97,98.9,98.86145620380563,96.96969696969697,97.16144293317564,98.0
Assam,Majuli,412,401,278,123,6,83,97.3,98.7419405566913,96.96969696969697,97.57539917208751,98.0
Ladakh,Kargil,206,204,132,72,7,98,99.0,99.36153483252083,96.36363636363636,97.13187463039621,98.0
Orissa,Bargarh,64,64,58,6,10,49,100.0,99.80185563767888,94.54545454545455,98.58072146658782,98.0
Lakshadweep,Lakshadweep,99,99,93,6,9,75,100.0,99.69177543638936,95.15151515151516,97.81194559432288,98.0
Jammu and Kashmir,Ganderbal,374,374,340,34,5,119,100.0,98.82685956911465,97.57575757575758,96.51094027202839,98.0
Jammu and Kashmir,Kargil,209,209,140,69,7,107,100.0,99.34580908947947,96.36363636363636,96.86575990538142,98.0
Rajasthan,Dhaulpur,73,73,51,22,10,46,100.0,99.77354930020444,94.54545454545455,98.66942637492608,98.0
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,57,57,21,36,11,37,100.0,99.82387167793678,93.93939393939394,98.93554109994086,97.9
Chhattisgarh,Sakti,220,218,169,49,7,120,99.1,99.31750275200503,96.36363636363636,96.48137196924897,97.9
Orissa,Kandhamal,19,19,17,2,12,19,100.0,99.9433873250511,93.33333333333333,99.46777054997042,97.9
Madhya Pradesh,Maihar,180,170,160,10,8,106,94.4,99.46846988520207,95.75757575757575,96.89532820816085,97.8
Arunachal Pradesh,Papum Pare,250,250,115,135,7,123,100.0,99.21685799654034,96.36363636363636,96.3926670609107,97.8
Manipur,Chandel,446,444,125,319,6,100,99.6,98.60669916653562,96.96969696969697,97.07273802483738,97.8
Nagaland,Mokokchung,396,368,118,250,7,96,92.9,98.84573046076427,96.36363636363636,97.19101123595506,97.8
Nagaland,Zunheboto,580,542,92,450,6,74,93.4,98.29847460292498,96.96969696969697,97.8415138971023,97.8
Andaman and Nicobar Islands,South Andaman,82,82,75,7,10,72,100.0,99.74524296272999,94.54545454545455,97.90065050266115,97.8
Punjab,Malerkotla,421,421,346,75,6,118,100.0,98.67903758452587,96.96969696969697,96.5405085748078,97.7
Chhattisgarh,Dakshin Bastar Dantewada,282,263,193,70,8,110,93.3,99.1759710646328,95.75757575757575,96.77705499704317,97.7
Orissa,Mayurbhanj,17,17,16,1,13,17,100.0,99.94967762226766,92.72727272727273,99.52690715552927,97.7
Delhi,North East,863,861,624,237,3,106,99.8,97.2951721968863,98.78787878787878,96.89532820816085,97.7
Bihar,Aurangabad(Bh),53,53,27,26,12,38,100.0,99.83645227236987,93.33333333333333,98.90597279716144,97.7
Maharashtra,Raigarh(Mh),47,47,38,9,12,36,100.0,99.8553231640195,93.33333333333333,98.96510940272029,97.7
Uttar Pradesh,Kushi Nagar,1570,1556,779,777,1,1,99.1,95.10929391413744,100.0,100.0,97.6
Puducherry,Karaikal,215,213,198,15,8,133,99.1,99.33322849504638,95.75757575757575,96.0969840331165,97.6
Odisha,Debagarh,449,447,388,59,6,139,99.6,98.5972637207108,96.96969696969697,95.91957421643997,97.6
Jammu and Kashmir,Ramban,621,621,399,222,5,136,100.0,98.05000786287152,97.57575757575758,96.00827912477824,97.5
Madhya Pradesh,Mauganj,229,228,195,33,9,111,99.6,99.28605126592231,95.15151515151516,96.74748669426374,97.5
Manipur,Tamenglong,458,442,125,317,7,119,96.5,98.61298946375216,96.36363636363636,96.51094027202839,97.5
Tripura,Gomati,380,370,245,125,8,118,97.4,98.83944016354772,95.75757575757575,96.5405085748078,97.5
Haryana,Nuh,1506,1464,1251,213,2,2,97.2,95.39864758609845,99.39393939393939,99.97043169722058,97.5
Orissa,Kendujhar,25,25,22,3,14,23,100.0,99.92451643340148,92.12121212121212,99.34949733885276,97.5
Orissa,Anugul,24,24,20,4,14,22,100.0,99.92766158200975,92.12121212121212,99.37906564163217,97.5
Orissa,Kendrapara,26,26,22,4,14,25,100.0,99.92137128479321,92.12121212121212,99.29036073329391,97.5
Andhra Pradesh,Karim Nagar,36,36,30,6,14,31,100.0,99.8899197987105,92.12121212121212,99.11295091661738,97.4
Punjab,Muktsar,194,194,177,17,10,107,100.0,99.39298631860355,94.54545454545455,96.86575990538142,97.4
Chhattisgarh,Kawardha,903,903,798,105,4,115,100.0,97.16307595533888,98.18181818181819,96.62921348314606,97.4
Bihar,Purnea,137,137,87,50,12,74,100.0,99.57225978927504,93.33333333333333,97.8415138971023,97.4
Bihar,Samstipur,36,36,17,19,14,29,100.0,99.8899197987105,92.12121212121212,99.17208752217623,97.4
Nagaland,Phek,826,793,240,553,5,113,96.0,97.50904230224879,97.57575757575758,96.68835008870491,97.4
Uttarakhand,Hardwar,67,67,49,18,13,54,100.0,99.79242019185406,92.72727272727273,98.43287995269071,97.4
Jharkhand,Pashchimi Singhbhum,304,303,148,155,10,84,99.7,99.05016512030194,94.54545454545455,97.5458308693081,97.4
Jammu & Kashmir,Jammu,31,31,26,5,14,30,100.0,99.90564554175185,92.12121212121212,99.1425192193968,97.4
Arunachal Pradesh,Changlang,593,587,349,238,7,109,99.0,98.15694291555276,96.36363636363636,96.80662329982259,97.3
Jammu and Kashmir,Bandipore,771,765,600,165,5,130,99.2,97.5971064632804,97.57575757575758,96.18568894145476,97.3
Odisha,Subarnapur,257,257,213,44,9,149,100.0,99.19484195628243,95.15151515151516,95.62389118864577,97.3
Orissa,Nayagarh,55,55,48,7,14,49,100.0,99.83016197515333,92.12121212121212,98.58072146658782,97.3
Jammu and Kashmir,Budgam,371,368,348,20,8,138,99.2,98.84573046076427,95.75757575757575,95.9491425192194,97.3
Assam,South Salmara Mankachar,962,930,685,245,4,119,96.7,97.07815694291556,98.18181818181819,96.51094027202839,97.3
Tripura,Unakoti,349,324,212,112,8,149,92.8,98.98411699952823,95.75757575757575,95.62389118864577,97.3
Gujarat,The Dangs,942,869,720,149,5,113,92.3,97.27001100802013,97.57575757575758,96.68835008870491,97.2
Uttarakhand,Champawat,425,425,374,51,8,147,100.0,98.66645699009278,95.75757575757575,95.6830277942046,97.2
Jharkhand,East Singhbum,1447,1394,848,546,4,4,96.3,95.61880798867746,98.18181818181819,99.91129509166174,97.2
Sikkim,East,226,225,118,107,10,139,99.6,99.29548671174713,94.54545454545455,95.91957421643997,97.2
Assam,North Cachar Hills,775,661,337,324,7,116,85.3,97.92420191854065,96.36363636363636,96.59964518036665,97.2
Odisha,Anugul,88,88,73,15,14,70,100.0,99.72637207108036,92.12121212121212,97.95978710821998,97.1
Tamil Nadu,Ranipet,49,49,41,8,15,42,100.0,99.84903286680296,91.51515151515152,98.78769958604376,97.1
Mizoram,Lunglei,485,448,354,94,10,89,92.4,98.59411857210253,94.54545454545455,97.397989355411,97.1
Himachal Pradesh,Kinnaur,71,70,57,13,14,65,98.6,99.78298474602926,92.12121212121212,98.10762862211709,97.1
Mizoram,Champhai,974,901,681,220,6,91,92.5,97.16936625255543,96.96969696969697,97.33885274985215,97.1
Sikkim,East Sikkim,208,194,98,96,11,134,93.3,99.39298631860355,93.93939393939394,96.06741573033707,97.1
Jammu and Kashmir,Samba,261,260,234,26,11,132,99.6,99.18540651045763,93.93939393939394,96.12655233589592,97.0
Nagaland,Peren,1382,1303,482,821,4,62,94.3,95.90501651203019,98.18181818181819,98.19633353045535,97.0
Mizoram,Lawngtlai,1203,1107,832,275,5,96,92.0,96.52146563925146,97.57575757575758,97.19101123595506,97.0
Orissa,Dhenkanal,67,67,53,14,15,58,100.0,99.79242019185406,91.51515151515152,98.31460674157303,97.0
Jammu and Kashmir,Punch,1042,1031,745,286,4,138,98.9,96.76049693348011,98.18181818181819,95.9491425192194,97.0
